# 未分类频道列表 (按源分类分组)

未分类,#genre#
CGTN法语,http://117.40.96.241:8008/udp/239.252.219.65:5140
CGTN法语,http://121.207.53.220:4022/rtp/239.61.3.44:9782
CGTN法语,http://121.29.141.88:4022/rtp/239.253.93.197:6375
CGTN法语,http://121.29.169.217:7777/rtp/239.253.93.197:6375
CGTN法语,http://121.29.169.217:8888/rtp/239.253.93.197:6375
CGTN法语,http://121.29.169.237:7777/rtp/239.253.93.197:6375
CGTN法语,http://121.29.169.237:8888/rtp/239.253.93.197:6375
CGTN法语,http://121.29.169.9:7777/rtp/239.253.93.197:6375
CGTN法语,http://121.29.169.9:8888/rtp/239.253.93.197:6375
CGTN法语,http://121.29.215.215:7777/rtp/239.253.93.197:6375
CGTN法语,http://121.29.215.215:8888/rtp/239.253.93.197:6375
CGTN法语,http://123.168.94.104:4000/udp/239.21.2.33:5002
CGTN法语,http://125.71.164.143:6868/udp/239.93.42.50:5140
CGTN法语,http://125.76.196.134:8899/rtp/239.111.205.34:5140
CGTN法语,http://125.76.196.201:8899/rtp/239.111.205.34:5140
CGTN法语,http://125.76.196.51:8899/rtp/239.111.205.34:5140
CGTN法语,http://125.76.196.59:8899/rtp/239.111.205.34:5140
CGTN法语,http://171.113.209.201:4022/rtp/239.69.1.235:11052
CGTN法语,http://171.213.216.99:4022/udp/239.93.42.50:5140
CGTN法语,http://171.213.225.213:4022/udp/239.93.42.50:5140
CGTN法语,http://171.213.225.244:4022/udp/239.93.42.50:5140
CGTN法语,http://183.236.43.98:4111/udp/239.77.0.228:5146
CGTN法语,http://218.86.185.3:8188/rtp/238.255.2.208:5999
CGTN法语,http://218.86.187.64:4022/rtp/238.255.2.208:5999
CGTN法语,http://220.169.100.41:10087/udp/239.76.246.87:1234
CGTN法语,http://220.169.100.41:10087/udp/239.76.253.87:9000
CGTN法语,http://220.169.109.72:802/udp/239.76.246.87:1234
CGTN法语,http://220.169.109.72:802/udp/239.76.253.87:9000
CGTN法语,http://27.184.64.107:58888/rtp/239.254.201.210:4220
CGTN法语,http://36.46.98.189:8025/rtp/239.111.205.34:5140
CGTN法语,http://36.46.98.4:8025/rtp/239.111.205.34:5140
CGTN法语,http://39.65.177.250:4022/rtp/239.253.254.183:8000
CGTN法语,http://42.228.37.147:8190/rtp/225.1.5.37:1347
CGTN法语,http://58.46.30.89:8188/udp/239.76.246.87:1234
CGTN法语,http://58.46.30.89:8188/udp/239.76.253.87:9000
CGTN法语,http://61.140.124.88:10022/udp/239.77.0.228:5146
CGTN法语,http://61.159.134.254:18000/rtp/238.255.2.208:5999
CGTN法语,http://61.159.134.62:4022/rtp/238.255.2.208:5999
CGTN法语,http://61.159.135.98:4022/rtp/238.255.2.208:5999
CGTN纪录,http://106.45.2.14:4000/rtp/239.121.4.136:8018
CGTN纪录,http://106.59.2.81:55555/udp/239.200.201.183:4220
CGTN纪录,http://106.59.3.118:55555/udp/239.200.201.183:4220
CGTN纪录,http://110.157.221.248:8088/udp/238.125.3.119:5140
CGTN纪录,http://111.123.103.198:8881/rtp/238.255.2.212:5999
CGTN纪录,http://111.162.204.194:8686/rtp/225.1.1.55:5002
CGTN纪录,http://112.109.206.28:9999/rtp/239.255.40.183:8208
CGTN纪录,http://113.119.27.49:58888/udp/239.253.43.122:5146
CGTN纪录,http://113.120.170.217:4022/udp/239.21.2.31:5002
CGTN纪录,http://113.120.46.204:8123/udp/239.21.2.31:5002
CGTN纪录,http://113.128.128.140:8688/udp/239.21.2.31:5002
CGTN纪录,http://113.58.7.33:8188/rtp/239.254.96.58:7448
CGTN纪录,http://114.241.222.27:4022/rtp/239.3.1.216:4220
CGTN纪录,http://114.241.244.154:4022/rtp/239.3.1.216:4220
CGTN纪录,http://114.254.35.218:18888/rtp/239.3.1.216:4220
CGTN纪录,http://114.254.35.246:8888/rtp/239.3.1.216:4220
CGTN纪录,http://116.21.205.63:8188/udp/239.253.43.122:5146
CGTN纪录,http://117.12.150.129:4022/rtp/225.1.1.55:5002
CGTN纪录,http://117.40.96.241:8008/udp/239.252.219.195:5140
CGTN纪录,http://121.207.53.220:4022/rtp/239.61.3.43:9776
CGTN纪录,http://121.29.141.88:4022/rtp/239.253.93.195:6373
CGTN纪录,http://121.29.169.217:7777/rtp/239.253.93.195:6373
CGTN纪录,http://121.29.169.217:8888/rtp/239.253.93.195:6373
CGTN纪录,http://121.29.169.237:7777/rtp/239.253.93.195:6373
CGTN纪录,http://121.29.169.237:8888/rtp/239.253.93.195:6373
CGTN纪录,http://121.29.169.9:7777/rtp/239.253.93.195:6373
CGTN纪录,http://121.29.169.9:8888/rtp/239.253.93.195:6373
CGTN纪录,http://121.29.215.215:7777/rtp/239.253.93.195:6373
CGTN纪录,http://121.29.215.215:8888/rtp/239.253.93.195:6373
CGTN纪录,http://123.168.94.104:4000/udp/239.21.2.31:5002
CGTN纪录,http://183.236.43.98:4111/udp/239.253.43.122:5146
CGTN纪录,http://218.86.185.3:8188/rtp/238.255.2.212:5999
CGTN纪录,http://218.86.187.64:4022/rtp/238.255.2.212:5999
CGTN纪录,http://220.169.100.41:10087/udp/239.76.245.67:1234
CGTN纪录,http://220.169.100.41:10087/udp/239.76.252.67:9000
CGTN纪录,http://220.169.109.72:802/udp/239.76.245.67:1234
CGTN纪录,http://220.169.109.72:802/udp/239.76.252.67:9000
CGTN纪录,http://222.82.207.185:8188/udp/238.125.3.119:5140
CGTN纪录,http://39.65.177.250:4022/rtp/239.253.254.188:8000
CGTN纪录,http://42.228.37.147:8190/rtp/225.1.5.35:1345
CGTN纪录,http://58.46.30.89:8188/udp/239.76.245.67:1234
CGTN纪录,http://58.46.30.89:8188/udp/239.76.252.67:9000
CGTN纪录,http://61.140.124.88:10022/udp/239.253.43.122:5146
CGTN纪录,http://61.159.134.254:18000/rtp/238.255.2.212:5999
CGTN纪录,http://61.159.134.62:4022/rtp/238.255.2.212:5999
CGTN纪录,http://61.159.135.98:4022/rtp/238.255.2.212:5999
CGTN英语,http://106.116.127.5:4022/rtp/239.254.200.12:8056
